algoritmo;dificuldade;tamanho_tabuleiro;execucao;tempo_ms;memoria_bytes;nos_visitados;chamadas_recursivas;backtracks;podas;profundidade_maxima;solucao_encontrada;status_execucao
Backtracking;facil;9;1;2,744;4306008;70;70;50;0;19;true;concluido
Backtracking;facil;9;2;0,258;6419440;70;70;50;0;19;true;concluido
Backtracking;facil;9;3;0,184;6419440;70;70;50;0;19;true;concluido
Backtracking;facil;9;4;0,121;6419440;70;70;50;0;19;true;concluido
Backtracking;facil;9;5;0,083;6419440;70;70;50;0;19;true;concluido
Backtracking;facil;9;6;0,053;6419440;70;70;50;0;19;true;concluido
Backtracking;facil;9;7;0,065;6419440;70;70;50;0;19;true;concluido
Backtracking;facil;9;8;0,132;6419440;70;70;50;0;19;true;concluido
Backtracking;facil;9;9;0,078;6419440;70;70;50;0;19;true;concluido
Backtracking;facil;9;10;0,097;6419440;70;70;50;0;19;true;concluido
Branch and Bound;facil;9;1;0,860;6419440;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;2;0,518;6419440;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;3;0,275;7434280;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;4;0,130;7434280;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;5;0,145;7434280;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;6;0,106;7434280;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;7;0,129;7434280;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;8;0,166;7434280;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;9;0,118;7434280;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;10;0,083;7434280;32;32;22;10;19;true;concluido
Dynamic Programming;facil;9;1;0,472;7434280;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;2;0,393;7434280;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;3;0,177;7434280;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;4;0,188;7434280;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;5;0,188;7434280;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;6;0,094;7493560;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;7;0,169;8516592;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;8;0,120;8516592;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;9;0,100;8516592;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;10;0,090;8516592;70;70;50;0;19;true;concluido
Backtracking;medio;9;1;0,093;8516592;86;86;57;0;28;true;concluido
Backtracking;medio;9;2;0,103;8516592;86;86;57;0;28;true;concluido
Backtracking;medio;9;3;0,127;8516592;86;86;57;0;28;true;concluido
Backtracking;medio;9;4;0,051;8516592;86;86;57;0;28;true;concluido
Backtracking;medio;9;5;0,043;8516592;86;86;57;0;28;true;concluido
Backtracking;medio;9;6;0,047;8516592;86;86;57;0;28;true;concluido
Backtracking;medio;9;7;0,044;8516592;86;86;57;0;28;true;concluido
Backtracking;medio;9;8;0,045;8516592;86;86;57;0;28;true;concluido
Backtracking;medio;9;9;0,041;8516592;86;86;57;0;28;true;concluido
Backtracking;medio;9;10;0,044;9523272;86;86;57;0;28;true;concluido
Branch and Bound;medio;9;1;0,144;9523272;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;2;0,089;9523272;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;3;0,096;9523272;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;4;0,096;9523272;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;5;0,099;9523272;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;6;0,090;9523272;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;7;0,087;9523272;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;8;0,096;9523272;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;9;0,090;9523272;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;10;0,086;9523272;39;39;16;6;28;true;concluido
Dynamic Programming;medio;9;1;0,137;9523272;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;2;0,115;9523272;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;3;0,107;9523272;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;4;0,138;9590712;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;5;0,863;10613744;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;6;0,125;10613744;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;7;0,101;10613744;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;8;0,109;10613744;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;9;0,106;10613744;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;10;0,094;10613744;86;86;57;0;28;true;concluido
Backtracking;dificil;9;1;0,049;10613744;85;85;46;0;38;true;concluido
Backtracking;dificil;9;2;0,044;10613744;85;85;46;0;38;true;concluido
Backtracking;dificil;9;3;0,062;10613744;85;85;46;0;38;true;concluido
Backtracking;dificil;9;4;0,045;10613744;85;85;46;0;38;true;concluido
Backtracking;dificil;9;5;0,045;10613744;85;85;46;0;38;true;concluido
Backtracking;dificil;9;6;0,044;10613744;85;85;46;0;38;true;concluido
Backtracking;dificil;9;7;0,049;11620400;85;85;46;0;38;true;concluido
Backtracking;dificil;9;8;0,046;11620400;85;85;46;0;38;true;concluido
Backtracking;dificil;9;9;0,046;11620400;85;85;46;0;38;true;concluido
Backtracking;dificil;9;10;0,045;11620400;85;85;46;0;38;true;concluido
Branch and Bound;dificil;9;1;0,173;11620400;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;2;0,156;11620400;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;3;0,185;11620400;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;4;0,154;11620400;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;5;0,213;11620400;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;6;0,159;11620400;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;7;0,154;11620400;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;8;0,164;11620400;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;9;0,153;11620400;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;10;0,165;11620400;52;52;24;11;38;true;concluido
Dynamic Programming;dificil;9;1;0,190;11687864;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;2;0,122;12710896;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;3;0,115;12710896;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;4;0,107;12710896;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;5;0,108;12710896;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;6;0,130;12710896;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;7;0,120;12710896;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;8;0,119;12710896;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;9;0,113;12710896;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;10;0,098;12710896;85;85;46;0;38;true;concluido
Backtracking;facil;4;1;0,009;12710896;5;5;0;0;4;true;concluido
Backtracking;facil;4;2;0,006;12710896;5;5;0;0;4;true;concluido
Backtracking;facil;4;3;0,005;13733928;5;5;0;0;4;true;concluido
Backtracking;facil;4;4;0,004;13733928;5;5;0;0;4;true;concluido
Backtracking;facil;4;5;0,004;13733928;5;5;0;0;4;true;concluido
Backtracking;facil;4;6;0,004;13733928;5;5;0;0;4;true;concluido
Backtracking;facil;4;7;0,029;13733928;5;5;0;0;4;true;concluido
Backtracking;facil;4;8;0,004;13733928;5;5;0;0;4;true;concluido
Backtracking;facil;4;9;0,066;13733928;5;5;0;0;4;true;concluido
Backtracking;facil;4;10;0,014;13733928;5;5;0;0;4;true;concluido
Branch and Bound;facil;4;1;0,020;13733928;5;5;0;0;4;true;concluido
